BILESEN KODU;BULTEN_ADI;ENDEKS KODU;ENDEKS ADI;ENDEKS INGILIZCE ADI;TARIH(GG/AA/YYYY)
CONSTITUENT CODE;CONSTITUENT NAME;INDEX CODE;INDEX NAME IN TURKISH;INDEX NAME IN ENGLISH;DATE(DD/MM/YYYY)
AKSA.E;AKSA;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
ALTNY.E;ALTINAY SAVUNMA;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
ASELS.E;ASELSAN;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
BIMAS.E;BIM MAGAZALAR;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
BSOKE.E;BATISOKE CIMENTO;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
CANTE.E;CAN2 TERMIK;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
CIMSA.E;CIMSA;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
CWENE.E;CW ENERJI;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
DAPGM.E;DAP GAYRIMENKUL;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
EKGYO.E;EMLAK KONUT GMYO;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
ENJSA.E;ENERJISA ENERJI;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
EREGL.E;EREGLI DEMIR CELIK;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
EUPWR.E;EUROPOWER ENERJI;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
GENIL.E;GEN ILAC;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;17/03/2026
